img_id,img_name,question,answer
0,xmlab1/source.jpg,What modality is used to take this image?,MRI
1,xmlab1/source.jpg,Which part of the body does this image belong to?,Abdomen
2,xmlab1/source.jpg,What is the mr weighting in this image?,T2
3,xmlab1/source.jpg,Does the picture contain liver?,Yes
4,xmlab1/source.jpg,Does the picture contain kidney?,No
5,xmlab1/source.jpg,Does the picture contain spleen?,No
6,xmlab1/source.jpg,Where is the liver?,Right
7,xmlab100/source.jpg,What modality is used to take this image?,CT
8,xmlab100/source.jpg,Which part of the body does this image belong to?,Chest
9,xmlab100/source.jpg,What is the main organ in the image?,"Liver, Heart, Spleen, Lung"
10,xmlab100/source.jpg,What is the largest organ in the picture?,Liver
11,xmlab100/source.jpg,Does the picture contain liver?,Yes
12,xmlab100/source.jpg,Does the picture contain lung?,Yes
13,xmlab100/source.jpg,Does the picture contain heart?,Yes
14,xmlab100/source.jpg,Is the lung healthy?,Yes
15,xmlab100/source.jpg,"Which is the biggest in this image,lung,liver or heart?",Liver
16,xmlab101/source.jpg,What modality is used to take this image?,CT
17,xmlab101/source.jpg,Which part of the body does this image belong to?,Chest
18,xmlab101/source.jpg,What is the main organ in the image?,Spinal Cord
19,xmlab101/source.jpg,Does the picture contain liver?,No
20,xmlab101/source.jpg,Does the picture contain lung?,No
21,xmlab101/source.jpg,Does the picture contain heart?,No
22,xmlab104/source.jpg,What modality is used to take this image?,CT
23,xmlab104/source.jpg,Which part of the body does this image belong to?,Chest
24,xmlab104/source.jpg,What is the main organ in the image?,Lung
25,xmlab104/source.jpg,What is the largest organ in the picture?,Lung
26,xmlab104/source.jpg,Does the picture contain liver?,No
27,xmlab104/source.jpg,Does the picture contain lung?,Yes
28,xmlab104/source.jpg,Does the picture contain heart?,No
29,xmlab104/source.jpg,What diseases are included in the picture?,Lung Cancer
30,xmlab104/source.jpg,Does the lung look abnormal?,Yes
31,xmlab104/source.jpg,Where is/are the abnormality located?,"Right Lung, Left"
32,xmlab107/source.jpg,What modality is used to take this image?,CT
33,xmlab107/source.jpg,Which part of the body does this image belong to?,Chest
34,xmlab107/source.jpg,What is the main organ in the image?,"Lung, Heart"
35,xmlab107/source.jpg,What is the largest organ in the picture?,Lung
36,xmlab107/source.jpg,Does the picture contain liver?,No
37,xmlab107/source.jpg,Does the picture contain lung?,Yes
38,xmlab107/source.jpg,Does the picture contain heart?,Yes
39,xmlab107/source.jpg,What diseases are included in the picture?,None
40,xmlab107/source.jpg,Is the lung healthy?,Yes
41,xmlab107/source.jpg,"Which is the bigger in this image,lung or heart?",Lung
42,xmlab108/source.jpg,What modality is used to take this image?,CT
43,xmlab108/source.jpg,Which part of the body does this image belong to?,Chest
44,xmlab108/source.jpg,What is the main organ in the image?,"Lung, Heart"
45,xmlab108/source.jpg,What is the largest organ in the picture?,Lung
46,xmlab108/source.jpg,Does the picture contain liver?,No
47,xmlab108/source.jpg,Does the picture contain lung?,Yes
48,xmlab108/source.jpg,Does the picture contain heart?,Yes
49,xmlab108/source.jpg,What diseases are included in the picture?,Lung Cancer
50,xmlab108/source.jpg,Does the lung look normal?,No
51,xmlab108/source.jpg,Where is/are the abnormality located?,"Left Lung, Right"
52,xmlab108/source.jpg,"Which is the bigger in this image, lung or heart?",Lung
53,xmlab109/source.jpg,What modality is used to take this image?,CT
54,xmlab109/source.jpg,Which part of the body does this image belong to?,Chest
55,xmlab109/source.jpg,What is the main organ in the image?,"Lung, Heart"
56,xmlab109/source.jpg,What is the largest organ in the picture?,Lung
57,xmlab109/source.jpg,Does the picture contain liver?,No
58,xmlab109/source.jpg,Does the picture contain lung?,Yes
59,xmlab109/source.jpg,Does the picture contain heart?,Yes
60,xmlab109/source.jpg,What diseases are included in the picture?,Lung Cancer
61,xmlab109/source.jpg,Where is/are the abnormality located?,"Left Lung, Lower Right"
62,xmlab109/source.jpg,Does the lung look normal?,No
63,xmlab109/source.jpg,"Which is the bigger in this image, lung or heart?",Lung
64,xmlab11/source.jpg,What modality is used to take this image?,MRI
65,xmlab11/source.jpg,Which part of the body does this image belong to?,Abdomen
66,xmlab11/source.jpg,What is the mr weighting in this image?,T2
67,xmlab11/source.jpg,Does spleen look abnormal?,No
68,xmlab11/source.jpg,Does the picture contain liver?,Yes
69,xmlab11/source.jpg,Does the picture contain kidney?,No
70,xmlab11/source.jpg,Does the picture contain spleen?,Yes
71,xmlab11/source.jpg,Where is the spleen?,Lower right
72,xmlab110/source.jpg,What modality is used to take this image?,CT
73,xmlab110/source.jpg,Which part of the body does this image belong to?,Chest
74,xmlab110/source.jpg,What is the main organ in the image?,"Lung, Heart"
75,xmlab110/source.jpg,What is the largest organ in the picture?,Lung
76,xmlab110/source.jpg,Does the picture contain liver?,No
77,xmlab110/source.jpg,Does the picture contain lung?,Yes
