Figure_path,Question,Pred,Label
xmlab102/source.jpg,"Think step by step, answer the Question: Does the picture contain liver?The Answer is:","No, it does not contain liver. ",No
xmlab102/source.jpg,"Think step by step, answer the Question: Does the picture contain lung?The Answer is:","No, it does not contain lung. ",Yes
xmlab102/source.jpg,"Think step by step, answer the Question: Does the picture contain heart?The Answer is:",No ,No
xmlab102/source.jpg,"Think step by step, answer the Question: Is the lung healthy?The Answer is:",Yes ,No
xmlab102/source.jpg,"Think step by step, answer the Question: Which is the biggest in this image,lung,liver or heart?The Answer is:",lung ,Lung
xmlab103/source.jpg,"Think step by step, answer the Question: Does the picture contain liver?The Answer is:","No, it does not contain liver. ",No
xmlab103/source.jpg,"Think step by step, answer the Question: Does the picture contain lung?The Answer is:","No, it does not contain lung. ",Yes
xmlab103/source.jpg,"Think step by step, answer the Question: Is the lung healthy?The Answer is:",Yes ,No
xmlab103/source.jpg,"Think step by step, answer the Question: Which is the biggest in this image,lung,liver or heart?The Answer is:",Liver ,Lung
xmlab105/source.jpg,"Think step by step, answer the Question: Does the picture contain liver?The Answer is:","No, it does not contain liver. ",No
xmlab105/source.jpg,"Think step by step, answer the Question: Does the picture contain lung?The Answer is:","No, it does not contain lung. ",Yes
xmlab105/source.jpg,"Think step by step, answer the Question: Does the picture contain heart?The Answer is:",No ,No
xmlab105/source.jpg,"Think step by step, answer the Question: Is the lung healthy?The Answer is:",Yes ,No
xmlab124/source.jpg,"Think step by step, answer the Question: Are there abnormalities in this image?The Answer is:","No, there are no abnormalities. ",Yes
xmlab124/source.jpg,"Think step by step, answer the Question: Which organ is abnormal, heart or lung?The Answer is:",Lung ,Heart
xmlab13/source.jpg,"Think step by step, answer the Question: Is there any abnormality in the spleen?The Answer is:","No, there is no abnormality in the spleen. ",No
xmlab13/source.jpg,"Think step by step, answer the Question: Does the liver look normal?The Answer is:","No, it does not look normal. ",Yes
xmlab13/source.jpg,"Think step by step, answer the Question: Does the picture contain liver?The Answer is:","No, it does not contain liver. ",Yes
