Figure_path,Question,Pred,Label
xmlab102/source.jpg,Question: What modality is used to take this image?The Answer is:,CT scan ,CT
xmlab102/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab102/source.jpg,Question: What is the main organ in the image?The Answer is:, Lung ,"Lung, Spinal Cord"
xmlab102/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Lung ,Lung
xmlab102/source.jpg,Question: What diseases are included in the picture?The Answer is:, Lung cancer and pneumonia ,Lung Cancer
xmlab102/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lower lobe ,"Left Lung, Right"
xmlab103/source.jpg,Question: What modality is used to take this image?The Answer is:,CT scan ,CT
xmlab103/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab103/source.jpg,Question: What is the main organ in the image?The Answer is:, Liver ,Lung
xmlab103/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Lung
xmlab103/source.jpg,Question: What diseases are included in the picture?The Answer is:, Cancer and heart disease ,Lung Cancer
xmlab103/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lung ,"Left Lung, Right"
xmlab105/source.jpg,Question: What modality is used to take this image?The Answer is:,CT scan ,CT
xmlab105/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab105/source.jpg,Question: What is the main organ in the image?The Answer is:, Lung ,Lung
xmlab105/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Liver ,Lung
xmlab105/source.jpg,Question: What diseases are included in the picture?The Answer is:, Lung cancer and pneumonia ,Lung Cancer
xmlab105/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lung ,"Right Lung, Left"
xmlab124/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
xmlab124/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab124/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Heart ,Lung
xmlab124/source.jpg,Question: What diseases are included in the picture?The Answer is:, Cancer and heart disease ,Cardiomegaly
xmlab124/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lung ,Center
xmlab13/source.jpg,Question: What modality is used to take this image?The Answer is:, MRI ,MRI
xmlab13/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Abdomen ,Abdomen
xmlab13/source.jpg,Question: What is the mr weighting in this image?The Answer is:,T2 weighting ,T2
xmlab130/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
